OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude
305,PLANEVIEW PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.76732683,-73.88439153
306,MAPLE GROVE PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.71194941,-73.82416643
308,HOWARD AV BLOCK ASSOCIATION,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.66358587,-73.91933851
309,CITY ISLAND LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.84775083,-73.78640826
324,LEFFERTS,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.68690143,-73.8248392
338,ARVERNE,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.59314455,-73.78403978
339,GREGORY'S GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.67266098,-73.88593561
359,MELROSE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.82658624,-73.91758012
370,PLAYGROUND 286,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.59128294,-73.93876379
378,PATRICIA A. BRACKLEY PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.58139737,-73.84577716
393,DE HOSTOS PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.70321262,-73.94849904
394,PECK SLIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.70757117,-74.00138844
399,JEFFERSON MARKET LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.73460467,-73.9991669
435,P.O. REINALDO SALGADO PLAYGROUND,PARKS,PARKS AND PLAZAS,BROOKLYN,40.68790248,-73.92546141
441,PULASKI PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.69375949,-73.94073651
442,NORTH FOREST PARK,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.71118636,-73.85367191
446,FERRIS FAMILY BURIAL PLOT,CEMETERIES,PARKS AND PLAZAS,BRONX,40.83884927,-73.84220304
448,BROOKLYN ACADEMY OF MUSIC,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.68646555,-73.97769775
467,GRAND CENTRAL LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.754072,-73.97349847
471,MACOMB'S BRIDGE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.82536667,-73.93551246
476,(CLOSED) LEONARD LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.71353775,-73.94774443
479,AESOP PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,STATEN ISLAND,40.51039165,-74.23040501
481,AVENUE R MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.60515084,-73.96362086
509,MCDONALD PLAYGROUND,PARKS,PARKS AND PLAZAS,BROOKLYN,40.60114856,-73.97216858
528,100 QUINCY STREET COMMUNITY GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.68596687,-73.95723637
532,HINES PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.82860205,-73.90565538
554,WEST HARLEM PIERS,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,MANHATTAN,40.81970348,-73.96065973
563,DODGER PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.6648712,-73.95236266
578,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.66581659,-73.99401539
584,SOUTH BEACH LIBRARY,PUBLIC LIBRARIES,LIBRARIES,STATEN ISLAND,40.59580191,-74.06302664
603,STAVROS NIARCHOS FOUNDATION LIBRARY (SNFL),PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.75177795,-73.98152665
