OBJECTID,Complaint ID,Offense,Latitude,Longitude,Borough,Public Area
353,278952639,ROBBERY,40.623238,-74.149217,,
354,279006991,ROBBERY,40.643996,-74.076502,,
355,279031842,ROBBERY,40.645288,-74.085547,,
356,279048584,ROBBERY,40.57104102,-74.10918334,,
357,279095164,ROBBERY,40.542668,-74.208373,,
358,279081208,ROBBERY,40.59383,-74.086718,,
359,279133398,ROBBERY,40.603415,-74.128749,,
360,279208483,ROBBERY,40.644719,-74.081327,,
361,279411279,ROBBERY,40.635738,-74.132124,,
362,279418361,ROBBERY,40.576854,-74.117437,,
363,279447847,ROBBERY,40.63274,-74.152082,,
364,279472819,ROBBERY,40.614616,-74.084716,,
365,279485389,ROBBERY,40.613121,-74.121981,,
366,279687754,ROBBERY,40.638005,-74.133351,,
367,,,40.61453272,-74.07418481,STATEN ISLAND,PARKS
368,,,40.51039165,-74.23040501,STATEN ISLAND,RECREATION AND WATERFRONT SITES
369,,,40.59580191,-74.06302664,STATEN ISLAND,PUBLIC LIBRARIES
370,,,40.59039493,-74.10113836,STATEN ISLAND,PUBLIC LIBRARIES
371,,,40.63874795,-74.0838988,STATEN ISLAND,PARKS
372,,,40.6365637,-74.16047118,STATEN ISLAND,PARKS
373,,,40.57626674,-74.20338144,STATEN ISLAND,PRESERVES AND CONSERVATION AREAS
374,,,40.60869014,-74.11957807,STATEN ISLAND,PARKS
375,,,40.63929738,-74.12093436,STATEN ISLAND,CEMETERIES
376,,,40.52690108,-74.16361518,STATEN ISLAND,GARDENS
377,,,40.53839631,-74.18713697,STATEN ISLAND,RECREATION AND WATERFRONT SITES
378,,,40.60641151,-74.14186022,STATEN ISLAND,PRESERVES AND CONSERVATION AREAS
379,,,40.64356867,-74.07984294,STATEN ISLAND,RECREATION AND WATERFRONT SITES
380,,,40.6410907,-74.08171819,STATEN ISLAND,PRESERVES AND CONSERVATION AREAS
381,,,40.53405756,-74.19323522,STATEN ISLAND,PUBLIC LIBRARIES
382,,,40.63095171,-74.09126516,STATEN ISLAND,"STREETSCAPES, PLAZAS, AND MALLS"
383,,,40.50953037,-74.24410519,STATEN ISLAND,PUBLIC LIBRARIES
384,,,40.59666529,-74.11986246,STATEN ISLAND,PRESERVES AND CONSERVATION AREAS
385,,,40.52543495,-74.18494128,STATEN ISLAND,PRESERVES AND CONSERVATION AREAS
386,,,40.60497656,-74.0790186,STATEN ISLAND,PRESERVES AND CONSERVATION AREAS
387,,,40.54703087,-74.15179769,STATEN ISLAND,RECREATION AND WATERFRONT SITES
388,,,40.5911601,-74.13105937,STATEN ISLAND,PRESERVES AND CONSERVATION AREAS
389,,,40.62827922,-74.11756786,STATEN ISLAND,RECREATION AND WATERFRONT SITES
390,,,40.54846167,-74.17394668,STATEN ISLAND,PRESERVES AND CONSERVATION AREAS
