OBJECTID,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
45,263111966,2023-02-06,10:50:00,2023-02-06,11:43:00,121,2023-02-06,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),943774,170504,40.63457814,-74.14583171,"(40.63457814, -74.14583171)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,263171455,2023-02-07,13:55:00,2023-02-07,14:17:00,121,2023-02-07,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),938881,167697,40.626851,-74.163438,"(40.626851, -74.163438)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,263175449,2023-02-07,16:20:00,2023-02-07,16:22:00,122,2023-02-07,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),952838,146501,40.568734,-74.113063,"(40.568734, -74.113063)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,263247636,2023-02-08,0:05:00,2023-02-08,00:08:00,120,2023-02-08,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),962064,172130,40.639106,-74.079939,"(40.639106, -74.079939)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,263401348,2023-02-10,21:30:00,2023-02-10,21:40:00,121,2023-02-10,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,FOOD SUPERMARKET,N.Y. POLICE DEPT,(null),(null),947738,159056,40.603174,-74.131487,"(40.603174, -74.131487)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,263528978,2023-02-12,18:40:00,2023-02-12,18:48:00,120,2023-02-12,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),959780,175051,40.647119,-74.088178,"(40.647119, -74.088178)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,263463032,2023-02-12,5:10:00,2023-02-12,05:15:00,120,2023-02-12,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),962507,171810,40.638231,-74.078342,"(40.638231, -74.078342)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,263481553,2023-02-12,7:00:00,2023-02-12,07:15:00,120,2023-02-12,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,OPPOSITE OF,STREET,N.Y. POLICE DEPT,(null),(null),961765,173046,40.641621,-74.081017,"(40.641621, -74.081017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,263649004,2023-02-14,14:05:00,2023-02-14,14:15:00,120,2023-02-15,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),952391,168499,40.629112,-74.114774,"(40.629112, -74.114774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,263608541,2023-02-14,21:00:00,2023-02-14,21:35:00,120,2023-02-14,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),961394,164734,40.618806,-74.082327,"(40.618806, -74.082327)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
