OBJECTID,Complaint ID,Offense,Latitude,Longitude,geometry
222,272144089,ROBBERY,40.645434,-74.080804,POINT (4524629.015951608 -12548259.41422948)
223,272202804,ROBBERY,40.61243853,-74.13230569,POINT (4520955.977032724 -12569194.83074785)
224,272283075,ROBBERY,40.632165,-74.141903,POINT (4523151.917628272 -12573103.44998713)
225,272421283,ROBBERY,40.625526,-74.135102,POINT (4522412.867528897 -12570333.42358791)
226,272428006,ROBBERY,40.604079,-74.128414,POINT (4520025.398409852 -12567610.54979343)
227,272435883,ROBBERY,40.633098,-74.086445,POINT (4523255.778713183 -12550549.25820376)
228,272449502,ROBBERY,40.634688,-74.115874,POINT (4523432.776703544 -12562508.17307128)
229,272498240,ROBBERY,40.596053,-74.062071,POINT (4519131.948176745 -12540660.81807197)
230,272561989,ROBBERY,40.549539,-74.150735,POINT (4513954.033381988 -12576702.42453932)
231,272623331,ROBBERY,40.638222,-74.079249,POINT (4523826.179784007 -12547628.33402793)
232,272664352,ROBBERY,40.63776,-74.076476,POINT (4523774.750179261 -12546503.09048331)
233,272672343,ROBBERY,40.59603,-74.080232,POINT (4519129.387828458 -12548027.26713519)
234,272805043,ROBBERY,40.625247,-74.144534,POINT (4522381.809390965 -12574175.35871184)
235,272805041,ROBBERY,40.63666,-74.12975,POINT (4523652.298739388 -12568154.38378553)
236,273118571,ROBBERY,40.59426476,-74.07907949,POINT (4518932.882210529 -12547559.54382784)
237,273093267,ROBBERY,40.637813,-74.079688,POINT (4523780.650112273 -12547806.491423)
238,273107777,ROBBERY,40.629876,-74.076705,POINT (4522897.107313847 -12546596.00816076)
239,273113122,ROBBERY,40.575382,-74.104812,POINT (4516830.862982558 -12558010.43377965)
240,273194088,ROBBERY,40.60211212,-74.18783328,POINT (4519806.446329801 -12591841.07322716)
241,273232741,ROBBERY,40.636139,-74.112523,POINT (4523594.301284685 -12561145.35553915)
242,273350077,ROBBERY,40.625819,-74.078759,POINT (4522445.484139699 -12547429.48518385)
243,273390568,ROBBERY,40.640659,-74.131333,POINT (4524097.465383071 -12568798.81967592)
244,273367658,ROBBERY,40.623977,-74.081548,POINT (4522240.433637657 -12548561.37995103)
245,273434947,ROBBERY,40.616325,-74.172339,POINT (4521388.616894107 -12585514.13729827)
246,273460707,ROBBERY,40.623933,-74.123371,POINT (4522235.535580062 -12565558.14113758)
247,274090896H1,MURDER & NON-NEGL. MANSLAUGHTER,40.638977,-74.171252,POINT (4523910.225999556 -12585070.49819052)
248,273502597,ROBBERY,40.62653009,-74.16050147,POINT (4522524.642316407 -12580684.46458141)
249,273509304,RAPE,40.57428569,-74.10591441,POINT (4516708.822311606 -12558458.52988893)
250,273567681,ROBBERY,40.636706,-74.145174,POINT (4523657.419435965 -12574436.13048356)
251,273813098,RAPE,40.62318838,-74.14923769,POINT (4522152.644860828 -12576092.14427231)
252,273571489,ROBBERY,40.638005,-74.133351,POINT (4523802.023454506 -12569620.43395202)
253,273678498,ROBBERY,40.638142,-74.075912,POINT (4523817.274224744 -12546274.25074983)
254,273777174,ROBBERY,40.635775,-74.139329,POINT (4523553.780990036 -12572054.93158572)
255,273762248,ROBBERY,40.643566,-74.074001,POINT (4524421.071142807 -12545498.93226035)
256,273794644,ROBBERY,40.6130779,-74.12255699,POINT (4521027.151375553 -12565226.91350981)
257,273762249,ROBBERY,40.63965233,-74.07550486,POINT (4523985.403391274 -12546109.06095969)
258,273848065,ROBBERY,40.633098,-74.086445,POINT (4523255.778713183 -12550549.25820376)
259,273888539,ROBBERY,40.628448,-74.14603,POINT (4522738.143080994 -12574784.92876141)
260,273934745,ROBBERY,40.625462,-74.151743,POINT (4522405.743081485 -12577113.30130067)
261,273928183,ROBBERY,40.626851,-74.163438,POINT (4522560.365854197 -12581882.23091505)
262,273928184,ROBBERY,40.566913,-74.10553,POINT (4515888.098215031 -12558302.27548666)
263,274115682,ROBBERY,40.582305,-74.169067,POINT (4517601.52781732 -12584178.8203325)
264,274111454,ROBBERY,40.604188,-74.12076,POINT (4520037.532234349 -12564495.7614887)
265,274111453,ROBBERY,40.63162,-74.076166,POINT (4523091.24850579 -12546377.30880154)
266,274157979,ROBBERY,40.626851,-74.163438,POINT (4522560.365854197 -12581882.23091505)
267,274155918,ROBBERY,40.616409,-74.079354,POINT (4521397.967731333 -12547670.94527015)
268,274164574,ROBBERY,40.62887,-74.073928,POINT (4522785.119906109 -12545469.31697227)
269,274192333,ROBBERY,40.626851,-74.163438,POINT (4522560.365854197 -12581882.23091505)
270,274218337,ROBBERY,40.59859,-74.081457,POINT (4519414.365724889 -12548524.4452337)
271,275783819,RAPE,40.62318838,-74.14923769,POINT (4522152.644860828 -12576092.14427231)
272,274452480,ROBBERY,40.632736,-74.096419,POINT (4523215.481057515 -12554599.927107)
273,274464086,ROBBERY,40.63278555,-74.13711256,POINT (4523220.996938284 -12571152.19801943)
274,274506913,ROBBERY,40.52313777,-74.21623925,POINT (4511015.061902071 -12603456.07721447)
275,274616739,RAPE,40.62318838,-74.14923769,POINT (4522152.644860828 -12576092.14427231)
276,274729270,ROBBERY,40.623796,-74.073767,POINT (4522220.284809824 -12545404.00153035)
277,274873182H1,MURDER & NON-NEGL. MANSLAUGHTER,40.614679,-74.098873,POINT (4521205.385012262 -12555596.93183507)
278,274853147,ROBBERY,40.639106,-74.079939,POINT (4523924.586213869 -12547908.35577412)
279,275022162,ROBBERY,40.587505,-74.168164,POINT (4518180.389169445 -12583810.34958411)
280,274981812,ROBBERY,40.618806,-74.082327,POINT (4521664.800550765 -12548877.56578332)
281,274942436,ROBBERY,40.61165,-74.067426,POINT (4520868.198274648 -12542832.05814546)
282,275040505,ROBBERY,40.610311,-74.113962,POINT (4520719.141476477 -12561730.54785544)
283,275161216,ROBBERY,40.62866416,-74.15550979,POINT (4522762.205902124 -12578648.92994944)
284,276069177,ROBBERY,40.627228,-74.07508,POINT (4522602.333302227 -12545936.68598224)
285,275355202,ROBBERY,40.62495773,-74.14576746,POINT (4522349.608001863 -12574677.94842288)
286,275597028H1,MURDER & NON-NEGL. MANSLAUGHTER,40.53635061,-74.15158584,POINT (4512485.908522804 -12577049.2387206)
287,275597027H1,MURDER & NON-NEGL. MANSLAUGHTER,40.621203,-74.083249,POINT (4521931.633370197 -12549251.81290966)
288,275570320,ROBBERY,40.604872,-74.120808,POINT (4520113.674766052 -12564515.2904866)
289,275656949,ROBBERY,40.545498,-74.201094,POINT (4513504.191319692 -12597260.75681019)
290,275647974,ROBBERY,40.637257,-74.076649,POINT (4523718.756475392 -12546573.28581372)
291,275672821,ROBBERY,40.647119,-74.088178,POINT (4524816.589293595 -12551252.89147122)
