OBJECTID,Offense,BORO_NM,Latitude,Longitude,geometry
500691,ROBBERY,BROOKLYN,40.677192,-73.955612,POINT (4528164.300340221 -12497642.75145068)
500709,ROBBERY,BROOKLYN,40.670307,-73.950459,POINT (4527397.86564611 -12495567.58120156)
500735,ROBBERY,BROOKLYN,40.633441,-73.947736,POINT (4523293.961298524 -12494471.26087683)
500803,ROBBERY,BROOKLYN,40.597113,-73.941249,POINT (4519249.946836987 -12491860.22750266)
500881,ROBBERY,BROOKLYN,40.595179,-73.937983,POINT (4519034.654941793 -12490546.0431701)
500985,ROBBERY,BROOKLYN,40.65227033,-73.92074364,POINT (4525390.032726103 -12483613.51843983)
501083,ROBBERY,BROOKLYN,40.647853,-73.915116,POINT (4524898.297799838 -12481352.02236661)
501215,ROBBERY,BROOKLYN,40.663298,-73.898485,POINT (4526617.62733514 -12474673.26874487)
501253,ROBBERY,BROOKLYN,40.67223283,-73.88470283,POINT (4527612.248061064 -12469143.64820781)
501267,ROBBERY,BROOKLYN,40.67445,-73.887495,POINT (4527859.062296466 -12470263.53818852)
501317,ROBBERY,BROOKLYN,40.667365,-73.872322,POINT (4527070.363704195 -12464180.19097656)
501738,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.619485,-74.036618,POINT (4521740.386485013 -12530350.34224865)
501797,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.650265,-74.006789,POINT (4525166.80041163 -12518287.59915389)
501801,ROBBERY,BROOKLYN,40.675028,-74.010237,POINT (4527923.404962145 -12519680.83773338)
501814,ROBBERY,BROOKLYN,40.643672,-74.006431,POINT (4524432.871008831 -12518142.95831553)
502075,ROBBERY,BROOKLYN,40.684454,-73.97775,POINT (4528972.702482362 -12506565.35903651)
502133,ROBBERY,BROOKLYN,40.607274,-73.958002,POINT (4520381.064182937 -12498605.45126758)
502160,ROBBERY,BROOKLYN,40.681311,-73.956509,POINT (4528622.825322798 -12498004.04961417)
502179,ROBBERY,BROOKLYN,40.689614,-73.960148,POINT (4529547.111054855 -12499469.98609376)
502245,RAPE,BROOKLYN,40.64885075,-73.95101651,POINT (4525009.366821776 -12495792.06536117)
502425,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.644283,-73.932024,POINT (4524500.887217705 -12488148.91051652)
